0	B543	1819
1	B667	1773
2	B121	1766
3	B878	1753
4	B958	1740
5	B573	1740
6	B277	1725
7	B8	1719
8	B1165	1709
9	B535	1704
10	B884	1682
11	B663	1678
12	B292	1670
13	B132	1668
14	B337	1664
15	B144	1659
16	B1065	1656
17	B433	1654
18	B662	1653
19	B89	1649
20	B560	1646
21	B943	1643
22	B375	1639
23	B237	1638
24	B254	1635
25	B1045	1624
26	B187	1621
27	B651	1614
28	B401	1613
29	B87	1605
30	B173	1603
31	B585	1595
32	B836	1588
33	B127	1567
34	B1765	1556
35	B135	1548
36	B579	1541
37	B548	1533
38	B727	1528
39	B638	1522
40	B858	1514
41	B298	1507
42	B309	1503
43	B502	1497
44	B563	1484
45	B215	1481
46	B866	1464
47	B904	1462
48	B1160	1462
49	B188	1462
50	B1236	1437
51	B424	1429
52	B617	1426
53	B118	1423
54	B637	1411
55	B473	1405
56	B1091	1400
57	B1121	1397
58	B516	1389
59	B285	1384
60	B669	1379
61	B331	1379
62	B491	1379
63	B534	1374
64	B307	1374
65	B829	1365
66	B801	1358
67	B293	1348
68	B1205	1342
69	B632	1332
70	B944	1319
71	B568	1316
72	B510	1303
73	B806	1301
74	B113	1294
75	B737	1290
76	B964	1287
77	B671	1286
78	B334	1281
79	B865	1279
80	B198	1272
81	B674	1255
82	B742	1253
83	B1120	1252
84	B681	1252
85	B425	1246
86	B350	1245
87	B709	1245
88	B679	1227
89	B807	1223
90	B1485	1223
91	B34	1223
92	B1248	1221
93	B703	1216
94	B228	1216
95	B881	1215
96	B429	1212
97	B901	1210
98	B357	1202
99	B589	1200
100	B754	1189
101	B306	1176
102	B755	1162
103	B348	1161
104	B1303	1157
105	B629	1155
106	B689	1154
107	B734	1151
108	B886	1150
109	B649	1150
110	B75	1142
111	B1668	1139
112	B691	1133
113	B246	1129
114	B141	1128
115	B520	1127
116	B718	1119
117	B1029	1119
118	B960	1114
119	B506	1114
120	B945	1108
121	B798	1107
122	B1415	1101
123	B847	1099
124	B980	1097
125	B208	1096
126	B140	1094
127	B1061	1094
128	B1666	1088
129	B329	1087
130	B869	1085
131	B833	1082
132	B297	1079
133	B1042	1078
134	B417	1077
135	B269	1071
136	B941	1062
137	B1102	1062
138	B100	1058
139	B240	1054
140	B719	1052
141	B332	1049
142	B276	1043
143	B672	1037
144	B1028	1036
145	B721	1031
146	B381	1030
147	B291	1027
148	B876	1021
149	B220	1021
150	B153	1018
151	B55	1016
152	B304	1014
153	B453	1014
154	B380	1007
155	B248	1002
156	B566	1002
157	B154	999
158	B741	998
159	B636	998
160	B1096	997
161	B155	996
162	B1445	995
163	B553	985
164	B273	984
165	B717	984
166	B887	983
167	B1030	983
168	B728	981
169	B722	978
170	B281	975
171	B1007	968
172	B639	967
173	B720	965
174	B423	965
175	B181	965
176	B1382	964
177	B625	963
178	B1582	961
179	B934	958
180	B1372	957
181	B90	957
182	B1122	951
183	B478	948
184	B693	946
185	B812	938
186	B2215	936
187	B759	934
188	B294	929
189	B694	923
190	B183	919
191	B795	916
192	B1380	914
193	B935	914
194	B913	913
195	B88	912
196	B1895	912
197	B299	910
198	B1	908
199	B1067	907
200	B62	906
201	B736	904
202	B783	904
203	B35	900
204	B1278	895
205	B762	894
206	B957	890
207	B99	887
208	B232	886
209	B768	882
210	B765	881
211	B648	878
212	B373	878
213	B1297	878
214	B574	875
215	B382	869
216	B481	868
217	B591	867
218	B735	867
219	B1320	865
220	B117	864
221	B725	864
222	B872	862
223	B929	859
224	B193	854
225	B379	853
226	B745	853
227	B41	850
228	B823	850
229	B924	847
230	B951	839
231	B947	837
232	B850	833
233	B258	832
234	B386	830
235	B769	823
236	B1291	822
237	B633	821
238	B217	819
239	B631	818
240	B138	818
241	B587	814
242	B940	814
243	B704	813
244	B59	812
245	B611	799
246	B412	796
247	B1251	792
248	B695	791
249	B814	790
250	B848	790
251	B500	787
252	B846	787
253	B390	785
254	B1068	784
255	B420	784
256	B1289	784
257	B234	779
258	B981	778
259	B764	777
260	B21	777
261	B1869	776
262	B715	776
263	B271	769
264	B525	767
265	B668	766
266	B867	765
267	B130	763
268	B680	762
269	B692	759
270	B716	756
271	B358	755
272	B328	754
273	B461	753
274	B454	752
275	B697	751
276	B670	746
277	B609	746
278	B1123	745
279	B452	744
280	B255	743
281	B956	739
282	B142	739
283	B1097	737
284	B643	736
285	B569	733
286	B1171	731
287	B1032	731
288	B1680	730
289	B752	728
290	B503	724
291	B791	724
292	B1462	723
293	B845	723
294	B1491	722
295	B852	719
296	B480	717
297	B855	715
298	B74	711
299	B1212	710
300	B1301	709
301	B747	709
302	B1426	708
303	B1307	705
304	B844	700
305	B544	700
306	B738	698
307	B1040	698
308	B174	693
309	B1063	692
310	B229	688
311	B511	686
312	B223	684
313	B959	683
314	B713	682
315	B905	680
316	B799	679
317	B115	676
318	B1334	671
319	B1005	669
320	B282	667
321	B216	662
322	B1832	661
323	B351	659
324	B314	658
325	B385	656
326	B1166	655
327	B635	655
328	B242	655
329	B1006	653
330	B1000	651
331	B257	650
332	B760	649
333	B196	648
334	B67	646
335	B1537	645
336	B1079	644
337	B494	644
338	B624	643
339	B51	641
340	B900	641
341	B1875	641
342	B883	640
343	B962	638
344	B1820	638
345	B1637	638
346	B1384	638
347	B536	636
348	B2332	631
349	B384	631
350	B931	629
351	B683	627
352	B1056	627
353	B464	626
354	B287	626
355	B1099	620
356	B794	619
357	B1017	619
358	B990	619
359	B666	618
360	B1080	616
361	B1089	613
362	B305	611
363	B652	610
364	B1316	610
365	B948	609
366	B195	607
367	B903	606
368	B784	605
369	B1230	604
370	B816	602
371	B803	602
372	B1403	601
373	B953	598
374	B231	595
375	B1698	591
376	B1293	591
377	B1866	590
378	B416	589
379	B1717	587
380	B621	584
381	B145	581
382	B288	579
383	B431	578
384	B778	576
385	B400	576
386	B295	574
387	B449	574
388	B343	572
389	B122	568
390	B999	568
391	B1295	567
392	B909	565
393	B552	564
394	B1348	564
395	B1037	562
396	B623	560
397	B1131	558
398	B642	558
399	B1422	557
400	B1181	556
401	B486	553
402	B1155	553
403	B524	552
404	B1143	552
405	B863	550
406	B1308	549
407	B1611	546
408	B14	544
409	B413	542
410	B1523	541
411	B657	541
412	B107	538
413	B1385	538
414	B923	537
415	B1420	533
416	B354	532
417	B897	529
418	B915	528
419	B827	528
420	B1188	527
421	B1746	525
422	B2424	525
423	B744	522
424	B676	522
425	B289	521
426	B677	519
427	B547	518
428	B468	517
429	B815	516
430	B558	515
431	B383	515
432	B732	511
433	B515	509
434	B575	508
435	B1077	507
436	B1315	507
437	B793	506
438	B1156	505
439	B191	502
440	B856	501
441	B650	500
442	B61	500
443	B777	499
444	B330	499
445	B156	498
446	B711	497
447	B788	495
448	B1530	495
449	B966	495
450	B890	494
451	B640	493
452	B1584	493
453	B1650	492
454	B436	490
455	B1306	489
456	B645	489
457	B595	488
458	B998	488
459	B336	487
460	B378	487
461	B1140	484
462	B1317	483
463	B1843	482
464	B212	479
465	B758	479
466	B444	478
467	B419	477
468	B1292	475
469	B109	473
470	B790	473
471	B1332	472
472	B103	472
473	B656	471
474	B646	470
475	B710	469
476	B933	468
477	B1850	468
478	B724	467
479	B588	467
480	B1041	467
481	B1098	467
482	B1071	466
483	B797	464
484	B71	463
485	B879	463
486	B1128	462
487	B530	461
488	B505	461
489	B843	460
490	B498	460
491	B810	460
492	B1588	458
493	B1667	457
494	B527	456
495	B528	455
496	B518	455
497	B837	454
498	B808	453
499	B1387	453
500	B283	452
501	B185	452
502	B1011	452
503	B313	451
504	B1136	451
505	B939	448
506	B1410	447
507	B916	445
508	B1124	445
509	B477	441
